"","code","sppid","species","scinam","order","family"
"ALFL","ALFL","AlderFlycatcher","Alder Flycatcher","Empidonax alnorum","Passeriformes","Tyrannidae"
"AMAV","AMAV","AmericanAvocet","American Avocet","Recurvirostra americana","Charadriiformes","Recurvirostridae"
"AMBI","AMBI","AmericanBittern","American Bittern","Botaurus lentiginosus","Pelecaniformes","Ardeidae"
"AMCO","AMCO","AmericanCoot","American Coot","Fulica americana","Gruiformes","Rallidae"
"AMCR","AMCR","AmericanCrow","American Crow","Corvus brachyrhynchos","Passeriformes","Corvidae"
"AMGO","AMGO","AmericanGoldfinch","American Goldfinch","Spinus tristis","Passeriformes","Fringillidae"
"AMKE","AMKE","AmericanKestrel","American Kestrel","Falco sparverius","Falconiformes","Falconidae"
"AMPI","AMPI","AmericanPipit","American Pipit","Anthus rubescens","Passeriformes","Motacillidae"
"AMRE","AMRE","AmericanRedstart","American Redstart","Setophaga ruticilla","Passeriformes","Parulidae"
"AMRO","AMRO","AmericanRobin","American Robin","Turdus migratorius","Passeriformes","Turdidae"
"AMWI","AMWI","AmericanWigeon","American Wigeon","Anas americana","Anseriformes","Anatidae"
"ATSP","ATSP","AmericanTreeSparrow","American Tree Sparrow","Spizella arborea","Passeriformes","Emberizidae"
"ATTW","ATTW","AmericanThreetoedWoodpecker","American Three-toed Woodpecker","Picoides dorsalis","Piciformes","Picidae"
"BADO","BADO","BarredOwl","Barred Owl","Strix varia","Strigiformes","Strigidae"
"BAEA","BAEA","BaldEagle","Bald Eagle","Haliaeetus leucocephalus","Accipitriformes","Accipitridae"
"BAIS","BAIS","BairdsSparrow","Baird's Sparrow","Ammodramus bairdii","Passeriformes","Emberizidae"
"BANS","BANS","BankSwallow","Bank Swallow","Riparia riparia","Passeriformes","Hirundinidae"
"BAOR","BAOR","BaltimoreOriole","Baltimore Oriole","Icterus galbula","Passeriformes","Icteridae"
"BARS","BARS","BarnSwallow","Barn Swallow","Hirundo rustica","Passeriformes","Hirundinidae"
"BAWA","BAWA","BachmansWarbler","Bachman's Warbler","Vermivora bachmanii","Passeriformes","Parulidae"
"BAWW","BAWW","BlackAndWhiteWarbler","Black-and-white Warbler","Mniotilta varia","Passeriformes","Parulidae"
"BBCU","BBCU","BlackbilledCuckoo","Black-billed Cuckoo","Coccyzus erythropthalmus","Cuculiformes","Cuculidae"
"BBMA","BBMA","BlackbilledMagpie","Black-billed Magpie","Pica hudsonia","Passeriformes","Corvidae"
"BBPL","BBPL","BlackbelliedPlover","Black-bellied Plover","Pluvialis squatarola","Charadriiformes","Charadriidae"
"BBWA","BBWA","BaybreastedWarbler","Bay-breasted Warbler","Setophaga castanea","Passeriformes","Parulidae"
